Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
ColdGAN: an effective cold-start recommendation system for new users based on generative adversarial networks,Applied Intelligence,,53,7,10.1007/s10489-022-04005-1,Chien Chin ChenPo-Lin LaiChih-Yun Chen,2023,http://link.springer.com/article/10.1007/s10489-022-04005-1,Article
Graph contrastive learning for recommendation with generative data augmentation,Multimedia Systems,,30,4,10.1007/s00530-024-01375-z,Xiaoge LiYin WangYihan WangXiaochun An,2024,http://link.springer.com/article/10.1007/s00530-024-01375-z,Article
Heterogeneous graph convolutional network pre-training as side information for improving recommendation,Neural Computing and Applications,,34,18,10.1007/s00521-022-07251-z,Phuc DoPhu Pham,2022,http://link.springer.com/article/10.1007/s00521-022-07251-z,Article
Towards platform profit-aware fairness in personalized recommendation,International Journal of Machine Learning and Cybernetics,,15,10,10.1007/s13042-024-02149-9,Shenghao LiuJiayang SunXianjun DengHeng WangWei LiuChenlu ZhuLaurence T. YangCelimuge Wu,2024,http://link.springer.com/article/10.1007/s13042-024-02149-9,Article
A survey on bipartite graphs embedding,Social Network Analysis and Mining,,13,1,10.1007/s13278-023-01058-z,Edward GiamphyJean-Loup GuillaumeAntoine DoucetKevin Sanchis,2023,http://link.springer.com/article/10.1007/s13278-023-01058-z,Article
Millions of online book co-purchases reveal partisan differences in the consumption of science,Nature Human Behaviour,,1,4,10.1038/s41562-017-0079,Feng ShiYongren ShiFedor A. DokshinJames A. EvansMichael W. Macy,2017,http://link.springer.com/article/10.1038/s41562-017-0079,Article
Social networks on the Internet,World Wide Web,,16,1,10.1007/s11280-011-0155-z,Katarzyna MusiałPrzemysław Kazienko,2013,http://link.springer.com/article/10.1007/s11280-011-0155-z,Article
How textual quality of online reviews affect classification performance: a case of deep learning sentiment analysis,Neural Computing and Applications,,32,9,10.1007/s00521-018-3865-7,Lin LiTiong-Thye GohDawei Jin,2020,http://link.springer.com/article/10.1007/s00521-018-3865-7,Article
Towards Quality of Experience-based reputation models for future web service provisioning,Telecommunication Systems,,51,4,10.1007/s11235-011-9435-2,T. CiszkowskiW. MazurczykZ. KotulskiT. HoßfeldM. FiedlerD. Collange,2012,http://link.springer.com/article/10.1007/s11235-011-9435-2,Article
Properties of feedback mechanisms on digital platforms: an exploratory study,Journal of Business Economics,,91,4,10.1007/s11573-020-01009-6,Andreas J. SteurMischa Seiter,2021,http://link.springer.com/article/10.1007/s11573-020-01009-6,Article
Twenty years of electronic markets research—looking backwards towards the future,Electronic Markets,,21,1,10.1007/s12525-011-0057-z,Rainer AltStefan Klein,2011,http://link.springer.com/article/10.1007/s12525-011-0057-z,Article
